deployment_priority,hub_near,district,settlements_covered,population_covered,hub_lat,hub_lon,covered_settlements
1,Kamalabari,Majuli,8,28030,26.97568,94.14474,"Kamalabari, Garamur, Auniati, Nargargaon, Deodia, Birinabari, Kakarikata, Kaibatra"
2,Jonai,Dhemaji,3,16320,27.83581,95.22276,"Jonai, Junkareng, Kuli Tiniali"
3,Gogamukh,Dhemaji,2,13500,27.22655,94.30504,"Gogamukh, Bilmukh"
4,Dhakuakhana,Lakhimpur,1,12800,27.19641,94.44843,Dhakuakhana
5,Bihpuria,Lakhimpur,2,11250,27.01926,93.91495,"Bihpuria, Naryanpur"
6,Mathuri Pathar,Dhemaji,15,8600,27.60313,94.73228,"Dimow, Jalakia Suti, Ghagara Adi, Joriguri, Kendugurigaon, Bormuria Chapori, Barati Gaon, Majorbari..."
7,Bordoloni,Dhemaji,3,4700,27.45486,94.53298,"Bordoloni, Huliagaon, Durpai"
8,Dakhinpat,Majuli,2,3950,26.95793,94.27709,"Dakhinpat, Jangraimukh"
