priority_rank,settlement,district,status,population,flood_depth_m,nearest_care_time_min,has_care_within_60min,relief_staging_lat,relief_staging_lon,water_gap_km,priority_score,lat,lon
58,Laimekuri,Dhemaji,accessible,450,0.0,2.2,True,,,,0.001,27.74539,95.07872
58,Dejoo,Lakhimpur,accessible,750,0.0,4.0,True,,,,0.001,27.27278,94.02407
58,Rest-Camp,Dhemaji,accessible,450,0.0,0.3,True,,,,0.001,27.75319,95.05048
58,Harmutigaon,Lakhimpur,accessible,750,0.0,7.7,True,,,,0.001,27.12557,93.85639
58,No. 1 Tangani Majgaon,Dhemaji,accessible,450,0.0,16.4,True,,,,0.001,27.52774,94.75327
58,Akajan Miri,Dhemaji,accessible,450,0.0,7.1,True,,,,0.001,27.55601,94.73649
58,No. 2 Tangani Majgaon,Dhemaji,accessible,450,0.0,16.3,True,,,,0.001,27.51692,94.74326
58,Koroibari,Dhemaji,accessible,450,0.0,3.4,True,,,,0.001,27.7398,95.05075
58,Ramdhon,Dhemaji,accessible,450,0.0,0.0,True,,,,0.001,27.72906,95.0595
58,Dikhari,Dhemaji,accessible,450,0.0,0.0,True,,,,0.001,27.72561,95.05606
58,Muktiar,Dhemaji,accessible,450,0.0,3.4,True,,,,0.001,27.73225,95.05497
58,Mishingpur,Dhemaji,accessible,450,0.0,10.4,True,,,,0.001,27.56965,94.74728
58,Silabaligaon,Dhemaji,accessible,450,0.0,12.0,True,,,,0.001,27.59745,94.76574
75,Bhebeli Gaon,Dhemaji,accessible,150,0.0,27.0,True,,,,0.0,27.54673,94.65659
75,Memberchuk,Dhemaji,accessible,150,0.0,9.1,True,,,,0.0,27.56658,94.74375
75,No. 2 Chila Pathar,Dhemaji,accessible,150,0.0,10.6,True,,,,0.0,27.60073,94.75983
75,Thekeraguri,Dhemaji,accessible,150,0.0,9.4,True,,,,0.0,27.59993,94.75668
75,No. 1 Chila Pathar,Dhemaji,accessible,150,0.0,9.1,True,,,,0.0,27.59573,94.75494
75,Bharaibpur,Dhemaji,accessible,150,0.0,11.8,True,,,,0.0,27.6002,94.76349
